cvd;dow;temp.l1;temp.l2;temp.l3;temp.l4;dptp.l1;dptp.l2;dptp.l3;dptp.l4;o3.l1;o3.l2;o3.l3;o3.l4
53;Tuesday;3.588890037;3.069326063;3.13398136;3.630256022;3.861465666;3.419699175;3.546453638;4.213303905;1.194644481;1.078576405;1.079431648;0.956676342
62;Wednesday;3.66733823;3.092605457;3.107924955;3.613976228;3.924397035;3.433359077;3.508931987;4.15783197;1.177494351;1.082611842;1.089959516;0.991818268
53;Thursday;3.698648395;3.122102328;3.084733778;3.583784292;3.946679579;3.452931138;3.474724478;4.110626351;1.154373363;1.0848451;1.098656461;1.022766715
70;Friday;3.730665804;3.154140618;3.064917123;3.550681134;4.014124072;3.475221929;3.442945069;4.079686053;1.171844848;1.085022285;1.104067278;1.071596603
60;Saturday;3.737296238;3.188585476;3.046570578;3.546512195;4.007583363;3.503232755;3.414867306;4.03515707;1.196962442;1.086251411;1.106309641;1.117305382
55;Sunday;3.68322096;3.223444625;3.031616824;3.517578729;3.909178973;3.531339056;3.391189631;3.984406531;1.42675556;1.089203604;1.105543882;1.160650358
54;Monday;3.635976561;3.254090406;3.024920155;3.422091241;3.879040987;3.552667914;3.375989931;3.877196842;1.592547001;1.10854507;1.103413637;1.186798856
63;Tuesday;3.64713553;3.280775119;3.023820139;3.363075806;3.866994135;3.571953282;3.364803809;3.830972663;1.754775049;1.13929247;1.102585276;1.185640067
61;Wednesday;3.65684376;3.307559533;3.025480952;3.343482158;3.853433718;3.590402765;3.355054186;3.820395748;1.895176316;1.180746397;1.106699026;1.142881277
48;Thursday;3.683766212;3.334232587;3.028617269;3.342429759;3.837527196;3.607753324;3.351067293;3.750575452;1.92028073;1.230993869;1.109094155;1.199611525
58;Friday;3.696952376;3.361865242;3.036800405;3.293427804;3.802108569;3.623587829;3.352567381;3.685683071;1.854604048;1.281637582;1.111063805;1.241208115
65;Saturday;3.749354371;3.389236552;3.04868309;3.264875163;3.826795696;3.636385749;3.35530402;3.679230856;1.736633948;1.325924082;1.124410517;1.11935918
